text,mark
Очень хороший отель. Красивые удобные и большие номера. Обслуживание прекрасное,5
"Отличный отель, персонал на высшем уровне. Сходили в итальянский ресторан на втором этаже. Очень все понравилось. Кухня, официанты. Сам номер очень аккуратный и удобный",5
"Выбирали отель рядом с культовым местом ВДНХ в пешей доступности. Через парк минут 8 дойти. Номер выбирали Максимально повыше и так как окна уходят в пол, было интересно наблюдать панораму окружающего города. Приближающийся поезд в ночи, стук колёс, широкая автомобильная трасса по которой движутся автомобили и сверкающий город, создавали интересный вид из окна, который под чашечку чая и кофе было приятно созерцать. Завтрак порадовал небольшим количеством людей, это позволяло спокойно и без увертываний составлять свой утренний рацион. В номере можно получить прия т ных эмоций от прозрачного окна расположенного между ванной комнатой и кроватью, его нажатием можно сделать не прозрачным. Приятной фишкой будет автоматическое открытие тюли и шторы, об этом могут не сообщить на рецепшене, а данная функция тоже примечательная. Спа и фитнес оплата отдельно в 2600 руб с человека. Лифты функционируют быстро, ждать особо не придётся всё быстро и понятно. Отель понравился. Приятных впечатлений!!",5
"Отель супер!!! Новый, свежий, современный, технологичный. Немного хромает обслуживание, но это проблемы обучения персонала и русского менталитета.",5
"Замечательный отель. Все на уровне. Цена разумная. Мы заселялись в очень холодную погоду, приехали замерзшие. На ресепшен нам был предложен безалкогольный глинтвейн. Это было очень-очень приятно и очень кстати! Спасибо большое владельцам и персоналу за 3 уютных дня!",5
Шикарные номера!! Постельное белье luxe 🔥🔥🔥,5
"Самый лучший отель Москвы. Современный, стильный, просторный, чистый, комфортный. Обслуживание вежливое и быстрое. Шикарные номера. Спасибо за отдых!",5
"Отель очень красивый, персонал работает отлично. Номер просторный и очень уютный в лучших традициях китайских отелей. На этом все и закончилось, далее минусы. Условие поиска отеля наличие собственного бассейна, в описании есть, а по факту нет. Он отдельно и в другой организацииВторой минус наличие собственной парковки, и тут разочарование, собственной парковки нет, есть по 150рчас зачем указывать в преимуществах, постояльцам не дают карту парковки, оплачивать общим тарифом так и надо писать парковка поатная а не парковка бесплатная!!! Бар это провал! Не могут сделать нормально, входишь в положение бармена, который и рад бы помочь но не может, так как нет необходимого, что так трудно закупиться и сделать самый лучший бар в самом красивом отеле москвы? Я бы на месте собственника оч крепко поработал над менеджментом! Это все не тянет на 5ти звездочный отель 5 звезд строится из мелочей из деталей! В общем не 5, а 3++",4
"Отель замечательный! Останавливались на 2 дня. В номере очень комфортно, постель белоснежная. Шикарный вид из окна. Завтрак отличный, большой выбор блюд.",4
Просто одним словом ЛУХАРИ !!! Все дорого богато и шикарно. Приехали на годовщину свадьбы и администрация в подарок дали более дорогой номер Де люкс и вкусное пирожкнное в качестве комплимента. Всё очень понравилось.,5
